Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
kubernetes,Module,DOCS,0.96,0.96,130.38,95634.48,309.25,0.64,0.72,641
react,Line,DOCS,0.84,0.84,92277.45,269589197699.73,519219.8,0.48,0.48,130
react,Module,DOCS,0.84,0.84,1086.2,42143783.43,6491.82,0.55,0.65,130
nixpkgs,Line,DOCS,0.89,0.89,843.94,16742763.92,4091.79,0.66,0.7,93
nixpkgs,Module,DOCS,0.94,0.94,16.55,3518.81,59.32,0.66,0.74,93
brew,Line,DOCS,0.85,0.85,248.11,694526.39,833.38,0.37,0.43,152
brew,Module,DOCS,0.86,0.86,11.79,731.44,27.05,0.41,0.49,152
Odin,Line,DOCS,0.9,0.89,14.39,6932.14,83.26,0.97,0.97,35
Odin,Module,DOCS,0.88,0.87,0.24,1.51,1.23,0.94,0.94,35
mesos,Line,DOCS,0.97,0.97,439.77,2181406.91,1476.96,0.75,0.82,257
mesos,Module,DOCS,0.98,0.98,8.4,818.76,28.61,0.76,0.84,257
elasticsearch,Line,DOCS,1.0,1.0,34165.25,10561252301.54,102767.95,0.44,0.57,270
elasticsearch,Module,DOCS,1.0,1.0,745.44,6628405.57,2574.57,0.53,0.68,270
linux,Line,DOCS,0.93,0.93,734.75,24794256.88,4979.38,0.5,0.58,640
linux,Module,DOCS,0.96,0.96,9.84,3130.65,55.95,0.64,0.79,640
lock,Line,REFACTOR,0.98,0.98,172.53,1357873.95,1165.28,0.97,0.97,492
lock,Module,REFACTOR,0.99,0.99,1.01,56.74,7.53,0.96,0.97,492
cinder,Line,REFACTOR,0.98,0.98,1969.72,19941498.24,4465.59,0.76,0.82,181
cinder,Module,REFACTOR,0.99,0.99,8.14,362.51,19.04,0.75,0.87,181
nova,Line,REFACTOR,0.92,0.92,1682.02,54022491.49,7350.0,0.64,0.79,234
nova,Module,REFACTOR,0.9,0.9,62.71,48759.8,220.82,0.5,0.63,234
kubernetes,Line,REFACTOR,0.93,0.93,3584.05,253298731.93,15915.36,0.74,0.8,641
kubernetes,Module,REFACTOR,0.92,0.92,120.51,270919.09,520.5,0.7,0.79,641
angular.js,Line,REFACTOR,0.96,0.96,3943.5,103805932.76,10188.52,0.36,0.44,204
angular.js,Module,REFACTOR,0.99,0.99,21.09,3525.86,59.38,0.46,0.69,204
nixpkgs,Line,REFACTOR,0.89,0.89,1628.5,26951707.4,5191.5,0.69,0.73,93
nixpkgs,Module,REFACTOR,0.94,0.94,42.04,20119.82,141.84,0.69,0.72,93
brew,Line,REFACTOR,0.78,0.78,499.9,6057118.43,2461.12,0.63,0.7,152
brew,Module,REFACTOR,0.79,0.79,21.01,14278.49,119.49,0.67,0.76,152
react,Line,REFACTOR,0.92,0.92,6815.31,1040322797.02,32254.04,0.79,0.82,130
react,Module,REFACTOR,0.89,0.89,109.37,258770.7,508.7,0.82,0.83,130
mesos,Line,REFACTOR,0.99,0.99,477.34,1562725.27,1250.09,0.82,0.88,257
mesos,Module,REFACTOR,0.99,0.99,4.36,162.17,12.73,0.86,0.91,257
Odin,Line,REFACTOR,0.89,0.88,57.64,111427.42,333.81,0.94,0.94,35
Odin,Module,REFACTOR,0.91,0.9,0.45,4.0,2.0,0.94,0.94,35
elasticsearch,Line,REFACTOR,1.0,1.0,26129.28,6366988580.27,79793.41,0.7,0.77,270
elasticsearch,Module,REFACTOR,1.0,1.0,560.47,3977268.14,1994.31,0.68,0.77,270
