Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
gitlabhq,Module_EC,TESTING,0.96,0.96,4.07,129.02,11.36,0.77,0.84,1154,0,0.521
gitlabhq,Module_UC,TESTING,0.87,0.87,388.81,7541606.21,2746.2,0.73,0.81,1154,0,0.414
node,Line_CC,FEATURE,0.94,0.94,40.11,31289.2,176.89,0.9,0.92,596,0,0.565
node,Line_EC,FEATURE,1.0,1.0,4.53,776.39,27.86,0.97,0.97,596,0,0.682
node,Line_UC,FEATURE,0.97,0.97,20.04,10220.82,101.1,0.91,0.92,596,0,0.643
node,Module_CC,FEATURE,0.94,0.94,1.4,20.98,4.58,0.89,0.93,596,0,0.565
node,Module_EC,FEATURE,0.99,0.99,0.45,6.62,2.57,0.96,0.97,596,0,0.682
node,Module_UC,FEATURE,0.95,0.95,0.43,4.9,2.21,0.92,0.94,596,0,0.643
tensorflow,Line_CC,UPGRADE,0.11,0.07,624.64,7065673.23,2658.13,0.65,0.67,106,0,0.448
tensorflow,Line_EC,UPGRADE,-0.0,-0.04,8329.58,6989990775.57,83606.16,0.74,0.81,106,0,0.476
tensorflow,Line_UC,UPGRADE,0.81,0.8,136.64,218554.7,467.5,0.61,0.67,106,0,0.38
tensorflow,Module_CC,UPGRADE,0.49,0.47,1.15,17.98,4.24,0.78,0.84,106,0,0.448
tensorflow,Module_EC,UPGRADE,0.42,0.4,19.5,8628.82,92.89,0.75,0.85,106,0,0.476
tensorflow,Module_UC,UPGRADE,0.68,0.67,6.52,474.52,21.78,0.66,0.74,106,0,0.38
vue,Line_CC,UPGRADE,0.01,-0.01,35.5,256241.12,506.2,0.97,0.98,248,0,0.727
vue,Line_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Line_UC,UPGRADE,0.04,0.02,2.55,854.66,29.23,0.93,0.94,248,0,0.702
vue,Module_CC,UPGRADE,0.82,0.82,0.24,1.88,1.37,0.97,0.98,248,0,0.727
vue,Module_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Module_UC,UPGRADE,1.0,1.0,0.32,4.02,2.01,0.94,0.94,248,0,0.702
neutron,Line_CC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.736
neutron,Line_EC,UPGRADE,0.65,0.64,828.25,7045586.53,2654.35,0.57,0.63,203,0,0.367
neutron,Line_UC,UPGRADE,0.88,0.88,17.23,3821.33,61.82,0.89,0.9,203,0,0.622
neutron,Module_CC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.736
neutron,Module_EC,UPGRADE,0.67,0.66,11.18,804.28,28.36,0.62,0.68,203,0,0.367
neutron,Module_UC,UPGRADE,0.98,0.98,0.39,1.55,1.24,0.91,0.94,203,0,0.622
moby,Line_CC,UPGRADE,1.0,1.0,0.11,1.35,1.16,0.99,0.99,319,0,0.744
moby,Line_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.708
moby,Line_UC,UPGRADE,0.92,0.92,100.85,69380.15,263.4,0.67,0.71,319,0,0.455
