Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
karma,Module,REFACTOR,1.0,1.0,10.35,1500.19,38.73,0.76,0.8,201,0,0.563
nightwatch,Line,BUG,1.0,1.0,204.67,188920.65,434.65,0.09,0.17,174,0,0.49
nightwatch,Module,BUG,1.0,1.0,6.96,257.56,16.05,0.32,0.49,174,0,0.49
jsdom,Line,REFACTOR,1.0,1.0,22.42,14940.47,122.23,0.94,0.94,246,0,0.668
jsdom,Module,REFACTOR,1.0,1.0,0.15,0.77,0.88,0.96,0.97,246,0,0.668
pomelo,Line,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,93,0,0.682
pomelo,Module,DOCS,1.0,1.0,0.0,0.0,0.0,1.0,1.0,93,0,0.682
generator-jhipster,Line,TESTING,1.0,1.0,383.95,792946.08,890.48,0.12,0.19,207,0,0.405
generator-jhipster,Module,TESTING,1.0,1.0,14.96,1534.31,39.17,0.16,0.29,207,0,0.405
browser-sync,Line,SUPPORT,1.0,1.0,2.1,155.15,12.46,0.96,0.96,219,0,0.672
browser-sync,Module,SUPPORT,1.0,1.0,0.09,0.38,0.62,0.97,0.98,219,0,0.672
ng-file-upload,Line,BUG,0.99,0.99,116.54,126989.96,356.36,0.6,0.61,224,0,0.591
ng-file-upload,Module,BUG,0.98,0.98,3.25,42.28,6.5,0.67,0.73,224,0,0.591
natural,Line,BUG,1.0,1.0,1984.8,81336809.99,9018.69,0.45,0.5,22,0,0.475
natural,Module,BUG,1.0,1.0,9.69,806.9,28.41,0.09,0.23,22,0,0.475
stylus,Line,REFACTOR,1.0,1.0,14.02,3780.31,61.48,0.81,0.84,162,0,0.632
stylus,Module,REFACTOR,1.0,1.0,0.56,4.1,2.02,0.84,0.86,162,0,0.632
fpm,Line,DOCS,1.0,1.0,24.92,24232.59,155.67,0.83,0.83,81,0,0.644
fpm,Module,DOCS,1.0,1.0,0.63,8.41,2.9,0.89,0.9,81,0,0.644
dat,Line,BUG,1.0,1.0,501.28,2793063.45,1671.25,0.08,0.19,106,0,0.528
dat,Module,BUG,1.0,1.0,18.39,6112.59,78.18,0.49,0.67,106,0,0.528
systemjs,Line,DOCS,1.0,1.0,202.2,632963.02,795.59,0.8,0.83,212,0,0.598
systemjs,Module,DOCS,1.0,1.0,2.03,53.78,7.33,0.84,0.88,212,0,0.598
karma,Line,TESTING,1.0,1.0,526.19,2890228.78,1700.07,0.55,0.61,201,0,0.508
karma,Module,TESTING,1.0,1.0,6.03,188.43,13.73,0.58,0.68,201,0,0.508
nightwatch,Line,DOCS,1.0,1.0,133.48,435178.98,659.68,0.87,0.87,174,0,0.651
nightwatch,Module,DOCS,1.0,1.0,1.15,17.81,4.22,0.89,0.9,174,0,0.651
jsdom,Line,TESTING,1.0,1.0,51291.27,39120258606.44,197788.42,0.28,0.3,246,0,0.565
jsdom,Module,TESTING,1.0,1.0,20.15,8680.57,93.17,0.22,0.3,246,0,0.565
pomelo,Line,REFACTOR,1.0,1.0,12.45,3293.47,57.39,0.96,0.98,93,0,0.638
