,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,generator-jhipster,Module,REFACTOR,0.95,0.94,78.24,10139.47,100.69,0.56,0.89,34
0,generator-jhipster,Module,RELEASE,0.38,0.37,0.88,3.92,1.98,0.45,0.61,173
0,generator-jhipster,Module,SUPPORT,0.85,0.84,94.46,61516.29,248.02,0.47,0.58,73
0,generator-jhipster,Module,TESTING,0.81,0.8,12.21,237.04,15.4,0.48,0.86,116
0,generator-jhipster,Module,UPGRADE,0.93,0.93,12.4,917.22,30.29,0.54,0.92,101
0,gitlabhq,Line,BUG,0.64,0.64,1663.45,13097962.4,3619.11,0.32,0.54,797
0,gitlabhq,Line,DOCS,0.05,0.04,677.51,1118041.88,1057.37,0.34,0.61,531
0,gitlabhq,Line,FEATURE,0.29,0.29,969.61,4018475.95,2004.61,0.26,0.44,447
0,gitlabhq,Line,OTHER,0.44,0.44,24443.8,3735064923.84,61115.18,0.26,0.43,887
0,gitlabhq,Line,REFACTOR,0.42,0.41,1609.32,16533027.81,4066.08,0.25,0.44,352
0,gitlabhq,Line,RELEASE,0.41,0.41,283.12,280983.83,530.08,0.03,0.3,265
0,gitlabhq,Line,SUPPORT,0.46,0.46,1155.68,5312819.78,2304.96,0.17,0.33,331
0,gitlabhq,Line,TESTING,0.36,0.35,1112.28,6344113.35,2518.75,0.41,0.6,445
0,gitlabhq,Line,UPGRADE,0.1,0.09,2003.14,41880105.15,6471.48,0.27,0.34,361
0,gitlabhq,Module,BUG,0.95,0.95,49.76,4787.56,69.19,0.5,0.76,797
0,gitlabhq,Module,DOCS,0.68,0.68,25.63,1736.25,41.67,0.46,0.67,531
0,gitlabhq,Module,FEATURE,0.5,0.5,32.39,3178.15,56.38,0.24,0.45,447
0,gitlabhq,Module,OTHER,0.91,0.91,294.62,276041.68,525.4,0.53,0.72,887
0,gitlabhq,Module,REFACTOR,0.56,0.56,36.76,5139.86,71.69,0.27,0.51,352
0,gitlabhq,Module,RELEASE,0.56,0.56,12.59,608.05,24.66,0.19,0.4,265
0,gitlabhq,Module,SUPPORT,0.84,0.84,20.7,841.33,29.01,0.28,0.54,331
0,gitlabhq,Module,TESTING,0.9,0.9,25.86,1657.37,40.71,0.46,0.69,445
0,gitlabhq,Module,UPGRADE,0.55,0.54,17.06,3629.33,60.24,0.26,0.52,361
0,home-assistant,Line,BUG,0.54,0.53,689.94,1974556.46,1405.19,0.81,0.85,291
0,home-assistant,Line,DOCS,0.51,0.46,871.12,936347.94,967.65,0.33,0.67,34
0,home-assistant,Line,FEATURE,0.81,0.8,2945.49,47678866.99,6904.99,0.82,0.82,42
0,home-assistant,Line,OTHER,0.81,0.81,8456.41,469361032.62,21664.74,0.62,0.67,368
0,home-assistant,Line,REFACTOR,0.82,0.81,6578.5,210717537.09,14516.11,0.77,0.77,49
0,home-assistant,Line,RELEASE,0.1,0.08,2.55,7.05,2.65,0.0,0.0,101
0,home-assistant,Line,SUPPORT,0.69,0.68,1554.35,8510721.74,2917.31,0.69,0.88,104
0,home-assistant,Line,TESTING,0.47,0.46,6963.45,118371948.47,10879.89,0.52,0.61,91
0,home-assistant,Line,UPGRADE,0.36,0.35,520.72,529640.74,727.76,0.5,0.57,111
0,home-assistant,Module,BUG,0.63,0.63,81.89,37655.37,194.05,0.78,0.88,291
0,home-assistant,Module,DOCS,0.42,0.35,78.27,8526.29,92.34,0.11,0.44,34
0,home-assistant,Module,FEATURE,0.93,0.92,58.57,16941.6,130.16,0.82,0.82,42
0,home-assistant,Module,OTHER,0.6,0.59,1064.75,5073697.25,2252.49,0.42,0.8,368
0,home-assistant,Module,REFACTOR,0.97,0.96,41.72,5493.28,74.12,0.77,0.85,49
